ID,Diameter,GMRAC,GMRunits,normamps,Rac,Runits,Radunits
RABBIT_7/3.35,10.05,3.542997,mm,190,0.5524,km,mm
WEASEL_7/2.59,7.77,2.739212,mm,114,0.9289,km,mm
SQUIRREL_7/2.11,6.33,2.231559,mm,107,1.394,km,mm
AAAC_4.0,0.25,0.08813425,in,143,0.000493,Ft,mm
